data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,,#event+code,,#date+occurred,#date+year,,#event+type,,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,#country+code
7000533,8,ALB386,386,4/13/2019,2019,1,Riots,Violent demonstration,Rioters (Albania),PD: Democratic Party of Albania; Farmers (Albania),5,Police Forces of Albania (2013-),,1,15,Europe,Albania,Tirana,Tirana,,Tirana,41.3275,19.8189,1,Albanian Daily News; TV Klan,National,"On 13 April, thousands of Albanians and members of the Democratic Party held a national anti-government demonstration in front of Parliament in Tirana. Demonstrators threw smoke bombs and clashed with police, who used tear gas to stop them. Famers threw their produce in front of the Prime Minister's office to express discontent with high taxes. [size=thousands]",0,1585075529,ALB
7000534,8,ALB387,387,4/11/2019,2019,1,Protests,Peaceful protest,Protesters (Albania),PD: Democratic Party of Albania,6,,,0,60,Europe,Albania,Tirana,Tirana,,Tirana,41.3275,19.8189,1,NOA; Albanian Daily News,National,"On 11 April, the Youth Forum of the Democratic Party organized a peaceful protest in front of Parliament in Tirana against corruption problems in the current government. [size=no report]",0,1585075529,ALB
7000795,8,ALB384,384,4/9/2019,2019,1,Riots,Violent demonstration,Rioters (Albania),,5,Police Forces of Albania (2013-),,1,15,Europe,Albania,Tirana,Tirana,,Tirana,41.3275,19.8189,1,Albanian Daily News,National,"On 9 April, residents of the neighborhood Bregu e Lumit in Tirana barricaded themselves in their houses to oppose demolition of their property due to a construction project without compensating them first. Police and demonstrators clashed and the former used tear gas to force residents out of their houses. Some demonstrators were injured. [size=no report]",0,1585075530,ALB
7000807,8,ALB383,383,4/9/2019,2019,1,Riots,Violent demonstration,Rioters (Albania),Students (Albania),5,Police Forces of Albania (2013-),,1,15,Europe,Albania,Tirana,Tirana,,Tirana,41.3275,19.8189,1,Albanian Daily News,National,"On 9 April, students from the Agricultural University in Tirana demonstrated against the construction of a school on the territory of their university, where they perform field work. They tried to break the fence around the construction ground and clashed with police. [size=no report]",0,1585075530,ALB
7000806,8,ALB385,385,4/8/2019,2019,1,Riots,Violent demonstration,Rioters (Albania),,5,Police Forces of Albania (2013-),,1,15,Europe,Albania,Tirana,Tirana,,Tirana,41.3275,19.8189,1,Albanian Daily News,National,"On 8 April, residents of the neighborhood Bregu e Lumit in Tirana demonstrated against demolition of their houses due to a new construction project. Demonstrators hit construction vehicles and clashed with police. No injuries were reported. [size=no report]",0,1585075530,ALB
7000804,8,ALB378,378,4/5/2019,2019,1,Protests,Peaceful protest,Protesters (Albania),Students (Albania),6,,,0,60,Europe,Albania,Tirana,Tirana,,Tirana,41.3275,19.8189,1,Albanian Daily News,National,"On 5 April, students from the Agricultural University in Tirana protested against the construction of a school in the grounds of their university where they did field work. [size=no report]",0,1585075530,ALB
7000805,8,ALB381,381,4/5/2019,2019,1,Protests,Peaceful protest,Protesters (Albania),,6,,,0,60,Europe,Albania,Gjirokaster,Dropull,,Dropull i Poshtem,39.9833,20.2,2,Albanian Daily News,National,"On 5 April, residents of Dropull protested in the village of Vrisera due to the lack of public transport in their village. [size=no report]",0,1585075530,ALB
7000531,8,ALB376,376,4/3/2019,2019,1,Riots,Violent demonstration,Rioters (Albania),PD: Democratic Party of Albania,5,Police Forces of Albania (2013-),,1,15,Europe,Albania,Tirana,Tirana,,Tirana,41.3275,19.8189,1,Xinhua; AP; Intellinews,International,"On 3 April, weekly anti-government demonstrations organized by the opposition Democratic party took place in Tirana, attended by hundreds to two thousand Albanians , according to different sources. Demonstrators threw firecrackers and projectiles and clashed with the police, trying to break their cordons in front of the Parliament. They also burned a carton in the shape of a pyramid symbolizing the corrupt Albanian government. [size=hundreds to two thousand]",0,1585075529,ALB
7000532,8,ALB377,377,4/3/2019,2019,1,Protests,Peaceful protest,Protesters (Albania),Farmers (Albania),6,,,0,60,Europe,Albania,Fier,Lushnje,,Lushnje,40.9419,19.705,1,Radio and Televizioni Shqiptar; Albanian Daily News,National,"On 3 April, farmers protested in Lushnje against the new VAT scheme by throwing their produce and spilling milk on the streets, saying they were going bankrupt. [size=no report]",0,1585075529,ALB
7000803,8,ALB379,379,4/2/2019,2019,1,Protests,Peaceful protest,Protesters (Albania),,6,,,0,60,Europe,Albania,Elbasan,Librazhd,,Librazhd,41.1794,20.315,1,Albanian Daily News,National,"On 2 April, Prime Minister Edi Rama was received with an anti-government protest upon his entry in Librazhd, where he had a meeting about a water supply project for one of the nearby villages. [size=no report]",0,1585075530,ALB
